,Date_Time,Hourly_Counts
31,11/01/2019 06:00:00 PM,3183
86,11/01/2019 07:00:00 PM,2533
141,11/01/2019 08:00:00 PM,2070
197,11/01/2019 09:00:00 PM,1450
252,11/01/2019 10:00:00 PM,779
307,11/01/2019 11:00:00 PM,391
362,11/02/2019 12:00:00 AM,205
417,11/02/2019 01:00:00 AM,142
473,11/02/2019 02:00:00 AM,63
528,11/02/2019 03:00:00 AM,38
584,11/02/2019 04:00:00 AM,24
639,11/02/2019 05:00:00 AM,25
694,11/02/2019 06:00:00 AM,85
749,11/02/2019 07:00:00 AM,162
805,11/02/2019 08:00:00 AM,385
861,11/02/2019 09:00:00 AM,765
916,11/02/2019 10:00:00 AM,1305
971,11/02/2019 11:00:00 AM,1845
1026,11/02/2019 12:00:00 PM,2287
1081,11/02/2019 01:00:00 PM,2486
1136,11/02/2019 02:00:00 PM,2786
1191,11/02/2019 03:00:00 PM,2678
1246,11/02/2019 04:00:00 PM,2861
1301,11/02/2019 05:00:00 PM,2747
1356,11/02/2019 06:00:00 PM,2221
1411,11/02/2019 07:00:00 PM,1909
1466,11/02/2019 08:00:00 PM,995
1521,11/02/2019 09:00:00 PM,666
1576,11/02/2019 10:00:00 PM,724
1631,11/02/2019 11:00:00 PM,378
1686,11/03/2019 12:00:00 AM,247
1739,11/03/2019 01:00:00 AM,162
1792,11/03/2019 02:00:00 AM,118
1845,11/03/2019 03:00:00 AM,99
1898,11/03/2019 04:00:00 AM,90
1951,11/03/2019 05:00:00 AM,51
2004,11/03/2019 06:00:00 AM,42
2057,11/03/2019 07:00:00 AM,105
2110,11/03/2019 08:00:00 AM,221
2163,11/03/2019 09:00:00 AM,656
2216,11/03/2019 10:00:00 AM,1341
2269,11/03/2019 11:00:00 AM,2214
2322,11/03/2019 12:00:00 PM,2774
2375,11/03/2019 01:00:00 PM,3240
2428,11/03/2019 02:00:00 PM,3193
2481,11/03/2019 03:00:00 PM,3227
2534,11/03/2019 04:00:00 PM,2858
2587,11/03/2019 05:00:00 PM,2644
2641,11/03/2019 06:00:00 PM,1813
2694,11/03/2019 07:00:00 PM,1151
2747,11/03/2019 08:00:00 PM,509
2800,11/03/2019 09:00:00 PM,373
2853,11/03/2019 10:00:00 PM,258
2907,11/03/2019 11:00:00 PM,121
2960,11/04/2019 12:00:00 AM,55
3013,11/04/2019 01:00:00 AM,66
3066,11/04/2019 02:00:00 AM,13
3119,11/04/2019 03:00:00 AM,24
3172,11/04/2019 04:00:00 AM,12
3225,11/04/2019 05:00:00 AM,19
3278,11/04/2019 06:00:00 AM,120
3331,11/04/2019 07:00:00 AM,338
3384,11/04/2019 08:00:00 AM,881
3437,11/04/2019 09:00:00 AM,1458
3490,11/04/2019 10:00:00 AM,2240
3543,11/04/2019 11:00:00 AM,3148
3596,11/04/2019 12:00:00 PM,4494
3649,11/04/2019 01:00:00 PM,3645
3702,11/04/2019 02:00:00 PM,3233
3755,11/04/2019 03:00:00 PM,3079
3808,11/04/2019 04:00:00 PM,2850
3861,11/04/2019 05:00:00 PM,3200
3914,11/04/2019 06:00:00 PM,2642
3967,11/04/2019 07:00:00 PM,1930
4020,11/04/2019 08:00:00 PM,723
4073,11/04/2019 09:00:00 PM,479
4126,11/04/2019 10:00:00 PM,364
4180,11/04/2019 11:00:00 PM,182
4233,11/05/2019 12:00:00 AM,129
